scale,field,tech_type,year,employees
6,감축,재생에너지,2020,2811.0
6,감축,신에너지,2020,304.0
6,감축,에너지저장,2020,1035.0
6,감축,송배전&전력IT,2020,1989.0
6,감축,에너지수요,2020,7041.0
6,감축,온실가스 고정,2020,66.0
6,적응,농업&축산,2020,842.0
6,적응,물관리,2020,737.0
6,적응,예측･모니터링,2020,54.0
6,적응,해양수산연안,2020,0.0
6,적응,산림육상,2020,42.0
6,융복합,감축 및 적응 융복합,2020,1985.0
전체,감축,비재생에너지,2021,10302.0
전체,감축,재생에너지,2021,32492.0
전체,감축,신에너지,2021,10033.0
전체,감축,에너지저장,2021,27530.0
전체,감축,송배전&전력IT,2021,29381.0
전체,감축,에너지수요,2021,78260.0
전체,감축,온실가스 고정,2021,2497.0
전체,적응,농업&축산,2021,9670.0
전체,적응,물관리,2021,17083.0
전체,적응,예측･모니터링,2021,2623.0
전체,적응,해양수산연안,2021,1344.0
전체,적응,건강,2021,10886.0
전체,적응,산림육상,2021,2309.0
전체,융복합,감축 및 적응 융복합,2021,6016.0
1,감축,비재생에너지,2021,589.0
1,감축,재생에너지,2021,5745.0
1,감축,신에너지,2021,1935.0
1,감축,에너지저장,2021,1944.0
1,감축,송배전&전력IT,2021,3877.0
1,감축,에너지수요,2021,8455.0
1,감축,온실가스 고정,2021,241.0
1,적응,농업&축산,2021,2356.0
1,적응,물관리,2021,3561.0
1,적응,예측･모니터링,2021,410.0
1,적응,해양수산연안,2021,142.0
1,적응,건강,2021,737.0
1,적응,산림육상,2021,737.0
1,융복합,감축 및 적응 융복합,2021,1336.0
2,감축,비재생에너지,2021,284.0
2,감축,재생에너지,2021,4350.0
2,감축,신에너지,2021,1306.0
2,감축,에너지저장,2021,1498.0
2,감축,송배전&전력IT,2021,4767.0
2,감축,에너지수요,2021,10171.0
2,감축,온실가스 고정,2021,141.0
2,적응,농업&축산,2021,1111.0
2,적응,물관리,2021,3941.0
2,적응,예측･모니터링,2021,62.0
2,적응,해양수산연안,2021,111.0
2,적응,건강,2021,1222.0
2,적응,산림육상,2021,165.0
2,융복합,감축 및 적응 융복합,2021,651.0
3,감축,비재생에너지,2021,610.0
3,감축,재생에너지,2021,4047.0
3,감축,신에너지,2021,1008.0
3,감축,에너지저장,2021,808.0
3,감축,송배전&전력IT,2021,2622.0
3,감축,에너지수요,2021,3087.0
3,감축,온실가스 고정,2021,19.0
3,적응,농업&축산,2021,142.0
3,적응,물관리,2021,1429.0
3,적응,예측･모니터링,2021,122.0
3,적응,해양수산연안,2021,6.0
3,적응,건강,2021,164.0
3,적응,산림육상,2021,12.0
3,융복합,감축 및 적응 융복합,2021,375.0
4,감축,비재생에너지,2021,132.0
4,감축,재생에너지,2021,2821.0
4,감축,신에너지,2021,296.0
4,감축,에너지저장,2021,1543.0
4,감축,송배전&전력IT,2021,2092.0
4,감축,에너지수요,2021,6436.0
4,감축,온실가스 고정,2021,508.0
4,적응,농업&축산,2021,614.0
4,적응,물관리,2021,1507.0
4,적응,예측･모니터링,2021,810.0
4,적응,해양수산연안,2021,42.0
4,적응,건강,2021,369.0
4,적응,산림육상,2021,176.0
4,융복합,감축 및 적응 융복합,2021,541.0
5,감축,비재생에너지,2021,2632.0
5,감축,재생에너지,2021,11641.0
5,감축,신에너지,2021,4836.0
5,감축,에너지저장,2021,18909.0
5,감축,송배전&전력IT,2021,13872.0
5,감축,에너지수요,2021,43049.0
5,감축,온실가스 고정,2021,1577.0
5,적응,농업&축산,2021,3173.0
5,적응,물관리,2021,5538.0
5,적응,건강,2021,922.0
5,융복합,감축 및 적응 융복합,2021,902.0
6,감축,비재생에너지,2021,6055.0
6,감축,재생에너지,2021,3888.0
6,감축,신에너지,2021,652.0
6,감축,에너지저장,2021,2828.0
6,감축,송배전&전력IT,2021,2151.0
6,감축,에너지수요,2021,7063.0
6,감축,온실가스 고정,2021,12.0
6,적응,농업&축산,2021,2274.0
6,적응,물관리,2021,1106.0
6,적응,예측･모니터링,2021,1219.0
6,적응,해양수산연안,2021,1044.0
6,적응,건강,2021,7471.0
6,적응,산림육상,2021,1219.0
6,융복합,감축 및 적응 융복합,2021,2211.0
